,ScalingFactorS,LoadScalingFactor,electricEnergyKwh,naturalGasEnergyKwh,districtHeatingEnergyKwh,volumeFlowMainVentilatorM3H,PowerDemandMainVentilator,TemperatureBeforeMainVentilator,TemperatureAfterMainVentilator,volumeFlowRegenerationVentilatorM3H,PowerDemandRegenerationVentilator,TemperatureRegenerationHeater,HeatFlowRegenerationHeater,HeatFlowPreCooler/Heater-amb-1,TemperaturePreCooler-amb-1,HeatFlowPreCooler-3-4,TemperaturePreCooler-3-4,HeatFlowPreHeater-5-In,TemperaturePreHeater-5-In,FluidTemperatureInHeatRecoveryUnit,TemperatureInPurgeAir,DewPointTemperatureDryRoom,TemperatureDryRoom,DryRoomHeatLoad,DryRoomMoistureLoad,OutsideRelativeHumidity,OutsideTemperatureDegrees,Preheating,locationVariant
59,9.0,2.0,6382396.0,2998153.0,2034975.0,27.56625,69710.59,298.23486,298.90817,8.2584,12684.814,397.73502,561008.44,0.0,291.25632,-90.0,298.08972,283470.6,313.1088,351.67447,311.48172,14.069035,305.55823,36427.5,0.0013888889,0.531775311791786,29.21770753499382,0.0,DU-30
60,0.5,0.5,404300.56,220591.38,16059.1875,1.5314584,3908.3784,298.72787,299.26453,0.4588,732.6155,397.73502,62859.973,0.0,284.51978,-5.0,293.9882,6266.0107,315.37305,333.15,309.7928,14.200251,306.31503,505.9375,0.00026195572,0.7777662902089697,27.769243439700237,0.0,JK-1
61,1.0,0.5,803147.06,420312.9,106201.43,3.0629168,7743.4316,298.3174,298.85464,0.9176,1450.7878,397.735,68843.56,0.0,285.78302,-10.0,294.07077,19101.908,314.79913,336.6724,310.22818,14.202805,305.72113,1011.875,0.00052391144,0.7777662941779353,27.769243100212954,0.0,JK-2
62,2.0,0.5,1603357.8,803031.25,345318.22,6.1258335,15404.342,297.8534,298.39264,1.8352,2870.257,397.73502,128897.266,0.0,288.01157,-20.0,294.41736,39311.043,313.9629,341.56384,310.25357,14.204092,305.05823,2023.75,0.0010478229,0.7777662959105827,27.769243081746215,0.0,JK-3
63,3.0,0.5,2402324.0,1179416.9,604759.94,9.18875,23063.447,297.60583,298.14636,2.7528,4283.958,397.73502,187022.9,0.0,289.87616,-30.0,295.04514,66836.0,313.8057,343.81723,310.17554,14.204526,304.706,3035.625,0.0013888889,0.7777662943689722,27.769243085910883,0.0,JK-4
64,4.0,0.5,3199799.2,1541397.2,872652.5,12.251667,30717.732,297.46106,298.00198,3.6704,5695.853,397.73502,242986.95,0.0,291.4368,-40.0,295.54623,95159.05,313.6057,345.09042,310.35886,14.1823225,304.46063,4047.5,0.0013888889,0.7777662942258492,27.769243055544937,0.0,JK-5
65,5.0,0.5,3997724.8,1884053.6,1145257.8,15.314584,38376.023,297.37494,297.91562,4.588,7107.3384,397.73502,301041.22,0.0,292.7425,-50.0,296.0195,123985.336,314.3148,345.9041,310.64005,14.141639,304.27005,5059.375,0.0013888889,0.7777663013954393,27.76924303740018,0.0,JK-6
66,6.0,0.5,4796047.5,2202351.0,1421049.2,18.3775,46038.08,297.31488,297.85544,5.5056,8518.318,397.73508,359045.47,0.0,293.83173,-60.0,296.37717,153292.12,315.0941,346.47586,310.917,14.114462,304.13928,6071.25,0.0013888889,0.777766301985705,27.76924305052916,0.0,JK-7
67,7.0,0.5,5596743.0,2501296.0,1698374.4,21.440416,53706.156,297.27252,297.813,6.4232,9928.927,397.73502,417004.1,0.0,294.73825,-70.0,296.65955,182992.2,314.5995,346.89914,311.15527,14.095022,304.0467,7083.125,0.0013888889,0.7777662949574049,27.76924307007488,0.0,JK-8
68,8.0,0.5,6397353.5,2790305.0,1975756.6,24.503334,61374.504,297.24283,297.7832,7.3408,11339.25,397.73502,474927.56,0.0,295.49075,-80.0,296.88885,212620.64,314.5181,347.22485,311.35028,14.080439,303.98022,8095.0,0.0013888889,0.7777662920605434,27.76924307664037,0.0,JK-9
69,9.0,0.5,7197892.5,3072687.0,2252978.5,27.56625,69047.6,297.2224,297.7627,8.2584,12749.358,397.73502,532791.0,0.0,296.11578,-90.0,297.07825,242122.48,315.54282,347.4833,311.50818,14.069081,303.9323,9106.875,0.0013888889,0.7777662948280851,27.769243080734633,0.0,JK-10
70,0.5,1.0,405928.16,247561.53,6416.8696,1.5314584,3906.6458,298.83597,299.3763,0.4588,720.4048,397.73502,62859.44,0.0,284.51974,-5.0,293.99615,5248.2056,315.51965,336.07553,309.77448,14.424873,306.8504,1011.875,0.00052391144,0.7777662941868145,27.769243413514463,0.0,JK-11
71,1.0,1.0,799011.94,471456.78,78693.336,3.0629168,7744.368,298.4145,298.95508,0.9176,1425.0413,397.73502,75518.414,0.0,285.78302,-10.0,294.08517,17200.68,314.94403,340.46762,309.84607,14.427389,306.24094,2023.75,0.0010478229,0.7777662952914204,27.76924306501326,0.0,JK-12
